Field,FieldRef,FieldSize,Action,Date,Category,Type,Description,Crop,Operator,Area_Hctrs,QtyPerHctr,CostPerHctr,TotalQty,UoM,Total,Comment,Weather,WindSpeed,TimeIn,TimeOut,GrowthStage
Common Field,SJ7121 1540,3.28,Miscanthus Rhizomes,20/05/2004,Seeds,Miscanthus,Miscanthus Rhizomes,,Contractor BICAL,4.13,1.00,1509.00,4.13,Hctr,6232.17,"10,000 plants/ha 4m wide",,,,,
"Bayley Hills (S) (Part B) ",#1636,3.64,Miscanthus Rhizomes,20/05/2004,Seeds,Miscanthus,Miscanthus Rhizomes,,Contractor BICAL,3.64,1.00,1509.00,3.64,Hctr,5492.76,"10,000 plants/ha 4 m wide",,,,,
Common Field,SJ7121 1540,3.28,Atrazine,22/05/2004,Chemicals,Herbicide,Atrazine,,Sean Lewis,4.13,3.00,9.66,12.39,Litres,39.90,pre em + leather jacket preven,Clear & Sunny,westerly,08:00,08:30,Pre emergence
Common Field,SJ7121 1540,3.28,Plinth pendimethalin,22/05/2004,Chemicals,Herbicide,Plinth pendimethalin,,Sean Lewis,4.13,3.00,0.00,12.39,Litres,0.00,pre em + leather jacket preven,Clear & Sunny,westerly,08:00,08:30,Pre emergence
Common Field,SJ7121 1540,3.28,Dursban WG chlorpyrifos,22/05/2004,Chemicals,Insecticides,Dursban WG chlorpyrifos,,Sean Lewis,4.13,1.00,10.93,4.13,Kgs,45.14,pre em + leather jacket preven,Clear & Sunny,westerly,08:00,08:30,Pre emergence
"Bayley Hills (S) (Part B) ",#1636,3.64,Atrazine,22/05/2004,Chemicals,Herbicide,Atrazine,,Sean Lewis,3.64,3.00,9.66,10.92,Litres,35.16,pre em leather jacket prevent,Clear & Sunny,westerly,09:00,09:30,Pre emergence
"Bayley Hills (S) (Part B) ",#1636,3.64,Plinth pendimethalin,22/05/2004,Chemicals,Herbicide,Plinth pendimethalin,,Sean Lewis,3.64,3.00,0.00,10.92,Litres,0.00,pre em leather jacket prevent,Clear & Sunny,westerly,09:00,09:30,Pre emergence
"Bayley Hills (S) (Part B) ",#1636,3.64,Dursban WG chlorpyrifos,22/05/2004,Chemicals,Insecticides,Dursban WG chlorpyrifos,,Sean Lewis,3.64,1.00,10.93,3.64,Kgs,39.79,Pre em leather jacket prevent,Clear & Sunny,westerly,09:00,09:30,Pre emergence
Common Field,SJ7121 1540,3.28,Starane 2 (fluroxypyr),26/06/2004,Chemicals,Herbicide,Starane 2 (fluroxypyr),,Sean Lewis,4.13,1.00,23.37,4.13,Litres,96.53,weed control GS 50 cm high,Clear & Sunny,westerly,08:30,09:15,50cm high
Common Field,SJ7121 1540,3.28,Oxytril bromoxynil+ioxynil,26/06/2004,Chemicals,Herbicide,Oxytril bromoxynil+ioxynil,,Sean Lewis,4.13,1.50,13.15,6.19,Litres,54.29,Weed control GS 50cm high,Clear & Sunny,westerly,08:30,09:15,50cm high
"Bayley Hills (S) (Part B) ",#1636,3.64,Starane 2 (fluroxypyr),26/06/2004,Chemicals,Herbicide,Starane 2 (fluroxypyr),,Sean Lewis,3.64,1.00,23.37,3.64,Litres,85.08,weed control GS 50cm high,Clear & Sunny,westerly,10:00,10:30,50cm high
"Bayley Hills (S) (Part B) ",#1636,3.64,Oxytril bromoxynil+ioxynil,26/06/2004,Chemicals,Herbicide,Oxytril bromoxynil+ioxynil,,Sean Lewis,3.64,1.50,13.15,5.46,Litres,47.88,Weed control GS 50 cm high,Clear & Sunny,westerly,10:00,10:30,50cm high
"Pipe Strine ",SJ7019 4588,2.9,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Oilseed Rape,,,,,,,,,,,,,
Poors Land Field,SJ7019 6595,5.15,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Oilseed Rape,,,,,,,,,,,,,
Pit Ancellor,SJ7020 7434,1.5,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Heaford Meadow,SJ7020 7579,2.53,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Oilseed Rape,,,,,,,,,,,,,
Tibberton 1,SJ6720 6805,3.98,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
"Tibberton 2  ",SJ6720 4507,2.84,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Triticale,,,,,,,,,,,,,
"Tibberton 3 ",SJ6720 4022,3.39,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Triticale,,,,,,,,,,,,,
Tibberton 4,SJ6719,4.64,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Oilseed Rape,,,,,,,,,,,,,
Tibberton 5 04-05,SJ6719 5986,2.93,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Triticale,,,,,,,,,,,,,
Tibberton 6,SJ6719 7886,2.88,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
"Tibberton 7 ",SJ6719 6370,2.9,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Triticale,,,,,,,,,,,,,
Adney Birchmoors,SJ6919 8929,10.76,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Re-creation of grassland,,,,,,,,,,,,,
Adney Brookside,SJ6919 8015,7.7,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Triticale,,,,,,,,,,,,,
Adney Middle Field 04-05,SJ7018 1891,3.63,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
Adney Loaders,SJ7018 4482,4.66,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
Adney Dog Leg,SJ7018 7276,3.25,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Re-creation of grassland,,,,,,,,,,,,,
Barnyard,SJ7120 5928,3.39,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Blackbrook Meadow,SJ7120 0577,3.75,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Caynton Ancellor,SJ7020 9947,1.5,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Cottage Field,SJ7120 0921,2.96,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Four Gates,SJ7019,8.67,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Countryside Stewardship,,,,,,,,,,,,,
Garden Field,SJ7020 8117,3.92,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Large Marsh Field,SJ7120 1465,3.62,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Liberty Field,SJ7020 5816,3.67,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Lockes Paddock,SJ7120 6924,1.27,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Long Leasow,SJ7120 4852,2.06,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Lower Meadow,SJ7120 2483,1.54,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Middle Leasow,SJ7120 5163,2.01,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Near Cot Leasow,SJ7120 6850,4.79,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Near Meadow,SJ7120 3570,3.02,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Engineers,,,,,,,,,,,,,
Swans Neck,SJ7119 5170,6.21,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
The Lawn,SJ7020 9517,0.85,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Upperwood Leasow,SJ7021 2513,6.5,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
Black Britch,SJ7021 5202,11.54,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Gallas Field,SJ7020 383,3.71,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Oilseed Rape,,,,,,,,,,,,,
Marlpit Leasow,SJ7020 4565,9.41,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
Cote Ussock,SJ7020 8565,4.89,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Near Broad Meadow,SJ7020 6249,4.85,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Far Broad Meadow,SJ7020 3833,6.17,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Tibberton Ancellor,SJ7020 3810,6.07,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Swans Leasow,SJ7119 7287,9.54,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grass Trials,,,,,,,,,,,,,
Crabtree Leasow,SJ7119 6247,10.72,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,CERC Trials,,,,,,,,,,,,,
Horse Foxhole,SJ7119 1070,7.18,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Bayley Hills North,SJ7219 5525,20.61,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Oilseed Rape,,,,,,,,,,,,,
Four Gates (Part A),#1630,6.95,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
Four Gates (Part B),#1631,0.45,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,WM2 Pollen & Nectar Mix,,,,,,,,,,,,,
Four Gates (Part C),#1632,0.45,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,WM1 wild bird seed mix,,,,,,,,,,,,,
Upperwood Leasow (A) 04-05,#1585,6.21,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
Upperwood Leasow (B) 04-05,#1586,0.21,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,WM1 wild bird seed mix,,,,,,,,,,,,,
Upperwood Leasow (C) 04-05,#1587,0.08,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
Black Britch (A) 04-05,#1594,5.81,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grass (year 1),,,,,,,,,,,,,
Black Britch (B) 04-05,#1595,5.42,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grass (year 2),,,,,,,,,,,,,
Black Britch (C) 04-05,#1596,0.25,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
Black Britch (D) 04-05,#1597,0.06,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R8 beetle bank 2m,,,,,,,,,,,,,
Gallas Field ( A) 04-05,#1598,2.5,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Oilseed Rape,,,,,,,,,,,,,
Gallas Field (B) 04-05,#1599,1,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Coppice,,,,,,,,,,,,,
Gallas Field (C) 04-05,#1600,0.14,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R6 wildlife strips 6m,,,,,,,,,,,,,
Marlpit Leasow (A) 04-05,#1601,9.04,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
Marlpit Leasow (B) 04-05,#1602,0.21,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
Marlpit Leasow (C) 04-05,#1603,0.16,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R6 wildlife strips 6m,,,,,,,,,,,,,
Cote Ussock (Part A),#1604,4.68,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Cote Ussock (Part B),#1605,0.2,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
Near Broad Meadow (Part A),#1606,5.1,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Near Broad Meadow (Part B),#1607,0.2,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
Far Broad Meadow (Part A),#1608,5.84,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Far Broad Meadow (Part B),#1609,0.26,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
Tibberton Ancellor (A) 04-05,#1610,4.83,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Tibberton Ancellor (B) 04-05,#1611,0.55,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Shooting ground,,,,,,,,,,,,,
Tibberton Ancellor (C) 04-05,#1612,0.41,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
Tibberton Ancellor (D) 04-05,#1613,0.28,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R6 wildlife strips 6m,,,,,,,,,,,,,
Swans Leasow (A) 04-05,#1620,6.56,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,NIAB/CERC Trials,,,,,,,,,,,,,
Swans Leasow (B) 04-05,#1621,2.98,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grass Trials,,,,,,,,,,,,,
Crabtree Leasow (Part A),#1622,9.54,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,CERC Trials,,,,,,,,,,,,,
Crabtree Leasow (Part B),#1623,0.8,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Set-a-side,,,,,,,,,,,,,
Horse Foxhole (A) 04-05,#1628,7,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Grassland,,,,,,,,,,,,,
Horse Foxhole (B) 04-05,#1629,0.18,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R8 beetle bank 2m,,,,,,,,,,,,,
Bayley Hills (N) (A) 04-05,#1633,19.12,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Oilseed Rape,,,,,,,,,,,,,
Bayley Hills (N) (B) 04-05,#1634,1.49,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
"Bayley Hills N (B) ",#1979,1.33,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
"Bayley Hills N (B) ",#1979,1.33,Activate cropping,01/09/2004,Events/Actions,Arable Observations,Activate cropping,,Unknown,1.33,0.00,0.00,0.00,Hctr,0.00,,,,,,
Adney Brookside (A) 04-05,#1639,6.32,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Triticale,,,,,,,,,,,,,
Adney Brookside (B) 04-05,#1640,1.13,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Set-a-side,,,,,,,,,,,,,
Adney Brookside (C) 04-05,#1641,0.25,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
Adney Brookside (A) 04-05,#1639,6.32,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Triticale,,,,,,,,,,,,,
Adney Loaders (A) 04-05,#1642,4.07,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Wheat,,,,,,,,,,,,,
Adney Loaders (B) 04-05,#1643,0.32,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,Set-a-side,,,,,,,,,,,,,
Adney Loaders (C) 04-05,#1644,0.27,Crop Season Start Marker,01/09/2004,Events/Actions,Arable Events,Crop Season Start Marker,R3 arable margin 6m,,,,,,,,,,,,,
Four Gates (Part B),#1631,0.45,Activate cropping,02/09/2004,Events/Actions,Arable Observations,Activate cropping,,Unknown,0.45,0.00,0.00,0.00,Hctr,0.00,,,,,,
Gallas Field ( A) 04-05,#1598,2.5,Azural (glyphosate),07/09/2004,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,2.50,5.70,8.70,14.25,Litres,21.76,Grassland destruction,Broken Cloud,westerly,13:55,14:10,
Tibberton 4,SJ6719,4.64,Azural (glyphosate),15/09/2004,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,4.64,5.06,7.73,23.50,Litres,35.88,Grassland destruction,Broken Cloud,westerly,18:20,19:00,
Poors Land Field,SJ7019 6595,5.15,Azural (glyphosate),15/09/2004,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,5.27,5.10,7.79,26.90,Litres,41.07,Grassland destruction,Broken Cloud,westerly,17:00,17:30,
"Pipe Strine ",SJ7019 4588,2.9,Glyphosate,15/09/2004,Chemicals,Herbicide,Glyphosate,,Sean Lewis,2.90,5.00,8.95,14.50,Litres,25.96,Grassland destruction,Broken Cloud,westerly,16:30,16:45,
Bayley Hills (N) (A) 04-05,#1633,19.12,Subsoiled,16/09/2004,Events/Actions,Arable Physical Actions,Subsoiled,,John Ruscoe,19.12,0.00,0.00,0.00,Hctr,0.00,North of field tramlines,,,,,
Bayley Hills (N) (A) 04-05,#1633,19.12,Subsoiled,16/09/2004,Events/Actions,Arable Physical Actions,Subsoiled,,John Ruscoe,19.12,0.00,0.00,0.00,Hctr,0.00,South of field all subsoiled,,,,,
Heaford Meadow,SJ7020 7579,2.53,Plough,17/09/2004,Events/Actions,Arable Physical Actions,Plough,,John Ruscoe,2.41,1.00,0.00,2.41,Hctr,0.00,,,,,,
Gallas Field ( A) 04-05,#1598,2.5,Plough,17/09/2004,Events/Actions,Arable Physical Actions,Plough,,Sean Lewis,2.50,1.00,0.00,2.50,Hctr,0.00,,,,,,
Bayley Hills (N) (A) 04-05,#1633,19.12,Terra disced,17/09/2004,Events/Actions,Arable Physical Actions,Terra disced,,Sean Lewis,19.12,0.00,0.00,0.00,Hctr,0.00,,,,,,
Tibberton 4,SJ6719,4.64,Plough,20/09/2004,Events/Actions,Arable Physical Actions,Plough,,Sean Lewis,4.64,1.00,0.00,4.64,Hctr,0.00,,,,,,
Heaford Meadow,SJ7020 7579,2.53,Victory,20/09/2004,Seeds,Oilseed Rape,Victory,,John Ruscoe,2.41,4.60,34.97,11.09,Kgs,84.28,Chinook dressed,,,,,
Tibberton 4,SJ6719,4.64,Victory,20/09/2004,Seeds,Oilseed Rape,Victory,,John Ruscoe,4.64,4.60,34.95,21.34,Kgs,162.18,Chinook seed dressing,,,,,
Heaford Meadow,SJ7020 7579,2.53,Combination drilled,20/09/2004,Events/Actions,Arable Physical Actions,Combination drilled,,John Ruscoe,2.41,0.00,0.00,0.00,Hctr,0.00,,,,,,
Tibberton 4,SJ6719,4.64,Combination drilled,20/09/2004,Events/Actions,Arable Physical Actions,Combination drilled,,John Ruscoe,4.64,0.00,0.00,0.00,Hctr,0.00,,,,,,
Gallas Field ( A) 04-05,#1598,2.5,Victory,20/09/2004,Seeds,Oilseed Rape,Victory,,John Ruscoe,2.50,5.24,39.86,13.11,Kgs,99.64,Chinook dressed,,,,,
Gallas Field ( A) 04-05,#1598,2.5,Rolled,20/09/2004,Events/Actions,Arable Physical Actions,Rolled,,John Ruscoe,2.50,0.00,0.00,0.00,Hctr,0.00,,,,,,
Gallas Field ( A) 04-05,#1598,2.5,Combination drilled,20/09/2004,Events/Actions,Arable Physical Actions,Combination drilled,,John Ruscoe,2.50,0.00,0.00,0.00,Hctr,0.00,,,,,,
Poors Land Field,SJ7019 6595,5.15,Plough,21/09/2004,Events/Actions,Arable Physical Actions,Plough,,Sean Lewis,5.27,1.00,0.00,5.27,Hctr,0.00,,,,,,
"Pipe Strine ",SJ7019 4588,2.9,Plough,22/09/2004,Events/Actions,Arable Physical Actions,Plough,,John Ruscoe,2.90,1.00,0.00,2.90,Hctr,0.00,,,,,,
Poors Land Field,SJ7019 6595,5.15,Victory,22/09/2004,Seeds,Oilseed Rape,Victory,,Sean Lewis,5.27,4.60,34.96,24.24,Kgs,184.22,dressed with Chinook,,,,,
Poors Land Field,SJ7019 6595,5.15,Rolled,22/09/2004,Events/Actions,Arable Physical Actions,Rolled,,Sean Lewis,5.27,0.00,0.00,0.00,Hctr,0.00,,,,,,
Tibberton 4,SJ6719,4.64,Rolled,22/09/2004,Events/Actions,Arable Physical Actions,Rolled,,John Ruscoe,4.64,0.00,0.00,0.00,Hctr,0.00,,,,,,
Poors Land Field,SJ7019 6595,5.15,Combination drilled,22/09/2004,Events/Actions,Arable Physical Actions,Combination drilled,,John Ruscoe,5.27,0.00,0.00,0.00,Hctr,0.00,,,,,,
Bayley Hills (N) (A) 04-05,#1633,19.12,Combi drill minimum tillage,23/09/2004,Events/Actions,Arable Physical Actions,Combi drill minimum tillage,,John Ruscoe,19.12,0.00,0.00,0.00,Hctr,0.00,,,,,,
Bayley Hills (N) (A) 04-05,#1633,19.12,Winner,23/09/2004,Seeds,Oilseed Rape,Winner,,John Ruscoe,19.12,4.50,35.78,86.04,Kgs,684.02,Chinook rovral liquid FS,,,,,
Poors Land Field,SJ7019 6595,5.15,Butisan S (metazachlor),24/09/2004,Chemicals,Herbicide,Butisan S (metazachlor),,Sean Lewis,5.27,1.52,36.19,8.00,Litres,190.72,,,,,,
Common Field,SJ7121 1540,3.28,Duplosan Mecoprop-P,24/09/2004,Chemicals,Herbicide,Duplosan Mecoprop-P,,Sean Lewis,4.13,2.00,8.41,8.26,Litres,34.74,"Nettles, umbliferae",Broken Cloud,North westerly,11:00,11:30,
Adney Middle Field 04-05,SJ7018 1891,3.63,Azural (glyphosate),24/09/2004,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,3.63,3.00,4.58,10.89,Litres,16.63,Stubble cleaning,Cloudy,North westerly,17:30,17:56,
